source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.306096709903 45.352171716884 Gegharkunik  (feature #110, WOEID: 20070204)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.376679453188 44.665540049805 Kotayk  (feature #111, WOEID: 20070208)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.969859693972 44.468581744376 Lori Armenia  (feature #112, WOEID: 20070207)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","40.154066947777 44.538970046364 Erevan Armenia Yerevan ????? ??????  (feature #113)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","39.344811853587 46.159288325639 Syunik  (feature #114, WOEID: 20070206)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","39.748251016999 45.441632142977 Vayots Dzor  (feature #115, WOEID: 20070205)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-14.159247560835 -170.17340196699 ASM- (American Samoa aggregation) American Samoa    (feature #116)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-80.3685578215 17.01825503388 ATA- (Antarctica aggregation) Antarctica    (feature #117)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-69.157192109646 -64.833290452586 ATA- (Antarctica minor island) Antarctica    (feature #118)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-12.432353961234 123.58636931362 ATC- (Ashmore and Cartier Is. aggregation) Ashmore and Cartier Islands    (feature #119)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-48.833330575089 69.036091467295 ATF- (Fr. S. Antarctic Lands aggregation) French Southern and Antarctic Lands    (feature #120)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","17.346390225166 -61.799437826491 ATG- (Antigua aggregation) Antigua and Barbuda    (feature #121)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-54.606135009262 158.89807888799 AUS- (Macquarie I. aggregation) Australia    (feature #122)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-9.3418763185397 142.50589909373 Western Australia Fly   (feature #123)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-35.159235516448 150.69397322827 Jervis Bay Territory Australia    (feature #124)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-19.099258558466 133.4012625139 Northern Territory  (feature #125, WOEID: 2344701)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-25.40039540697 122.0829030093 Western Australia  (feature #126, WOEID: 2344706)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-35.508237249458 149.05379413527 Australian Capital Territory  (feature #127, WOEID: 2344699)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-32.204676962114 147.04704653562 New South Wales  (feature #128, WOEID: 2344700)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-30.349335419838 135.88846241044 South Australia  (feature #129, WOEID: 2344703)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-36.878174601666 144.34504827601 Victoria  (feature #130, WOEID: 2344705)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-22.437812315183 144.59158954256 Queensland  (feature #131, WOEID: 2344702)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-31.564809944614 159.07950940209 Norfolk Island Australia    (feature #132)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-41.812793121489 146.62250378196 Tasmania  (feature #133, WOEID: 2344704)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","47.226169109505 9.8739087126307 Vorarlberg  (feature #134, WOEID: 2344715)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","47.517878866191 16.508232773534 Burgenland  (feature #135, WOEID: 2344708)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","47.258515216112 14.975802713068 Steiermark  (feature #136, WOEID: 2344713)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","46.773856859291 13.861771538368 Kärnten  (feature #137, WOEID: 2344709)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.135531101172 13.942740728102 Oberösterreich  (feature #138, WOEID: 2344711)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","47.42528199981 13.075636822263 Salzburg Austria Salzburgo   (feature #139)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","46.898276946426 12.527648914492 Osttirol  (feature #140, WOEID: 12591741)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","47.251673402118 11.290907955949 Tirol  (feature #141, WOEID: 2344714)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.270374573689 15.739132423133 Niederösterreich  (feature #142, WOEID: 2344710)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","48.222350200578 16.39142623393 Wien Austria Vienna Viena   (feature #143)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.051813742621 44.996421796477 Qazax  (feature #144, WOEID: 20070267)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.977266670897 45.201750075038 Qazax  (feature #145, WOEID: 20070267)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.237655295152 45.446186074683 Agstafa  (feature #146, WOEID: 20070266)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.446381300093 46.015897175815 Dask?s?n Azerbaijan Dashkasan  (feature #147, WOEID: 20070222)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.577493246476 45.667441775084 G?d?b?y Azerbaijan Gadabay  (feature #148, WOEID: 20070230)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","40.683341959523 46.314029569958 G?nc? Azerbaijan Ganja city   (feature #149)"
